url,characters,words,summary,skills,languages,tech_stack,job_fit_score
https://www.jobs.ch/en/vacancies/information-technology-telecom/,9972,1448,"Smart search lets you write naturally in full sentences. Get jobs tailored to your goals, not just your keywords. Discover opportunities you didn't know existed. Add your salary anonymously to uncover your earnings potential.","api, cloud","english, german",,54
https://www.jobs.ch/en/vacancies/?term=python,10239,1489,"Smart search lets you write naturally in full sentences. Get jobs tailored to your goals, not just your keywords. Discover opportunities you didn't know existed. Add your salary anonymously to uncover your earnings potential.","data analysis, python, sql","english, german",,61
